date,home_team,score,away_team
25-10-2021,Getafe,0 - 3,Celta
28-10-2021,Granada,1 - 1,Getafe
31-10-2021,Getafe,2 - 1,Espanol
07-11-2021,Villarreal,1 - 0,Getafe
21-11-2021,Getafe,4 - 0,Cadiz
27-11-2021,Mallorca,0 - 0,Getafe
06-12-2021,Getafe,0 - 0,Ath Bilbao
11-12-2021,Alaves,1 - 1,Getafe
19-12-2021,Getafe,1 - 0,Osasuna
02-01-2022,Getafe,1 - 0,Real Madrid
09-01-2022,Sevilla,1 - 0,Getafe
20-01-2022,Getafe,4 - 2,Granada
23-01-2022,Sociedad,0 - 0,Getafe
04-02-2022,Getafe,3 - 0,Levante
12-02-2022,Ath Madrid,? - ?,Getafe
16-08-2021,Villarreal,0 - 0,Granada
21-08-2021,Granada,1 - 1,Valencia
29-08-2021,Vallecano,4 - 0,Granada
13-09-2021,Granada,1 - 2,Betis
20-09-2021,Barcelona,1 - 1,Granada
23-09-2021,Granada,2 - 3,Sociedad
27-09-2021,Celta,1 - 0,Granada
03-10-2021,Granada,1 - 0,Sevilla
22-10-2021,Osasuna,1 - 1,Granada
28-10-2021,Granada,1 - 1,Getafe
01-11-2021,Levante,0 - 3,Granada
06-11-2021,Espanol,2 - 0,Granada
21-11-2021,Granada,1 - 4,Real Madrid
26-11-2021,Ath Bilbao,2 - 2,Granada
03-12-2021,Granada,2 - 1,Alaves
13-12-2021,Cadiz,1 - 1,Granada
19-12-2021,Granada,4 - 1,Mallorca
22-12-2021,Granada,2 - 1,Ath Madrid
02-01-2022,Elche,0 - 0,Granada
08-01-2022,Granada,1 - 1,Barcelona
20-01-2022,Getafe,4 - 2,Granada
23-01-2022,Granada,0 - 2,Osasuna
06-02-2022,Real Madrid,1 - 0,Granada
13-02-2022,Sociedad,? - ?,Granada
14-08-2021,Cadiz,1 - 1,Levante
22-08-2021,Levante,3 - 3,Real Madrid
28-08-2021,Sociedad,1 - 0,Levante
11-09-2021,Levante,1 - 1,Vallecano
18-09-2021,Elche,1 - 1,Levante
21-09-2021,Levante,0 - 2,Celta
26-09-2021,Barcelona,3 - 0,Levante
02-10-2021,Mallorca,1 - 0,Levante
16-10-2021,Levante,0 - 0,Getafe
24-10-2021,Sevilla,5 - 3,Levante
28-10-2021,Levante,2 - 2,Ath Madrid
01-11-2021,Levante,0 - 3,Granada
06-11-2021,Alaves,2 - 1,Levante
19-11-2021,Levante,0 - 0,Ath Bilbao
28-11-2021,Betis,3 - 1,Levante
05-12-2021,Levante,0 - 0,Osasuna
11-12-2021,Espanol,4 - 3,Levante
20-12-2021,Levante,3 - 4,Valencia
03-01-2022,Villarreal,5 - 0,Levante
08-01-2022,Levante,2 - 0,Mallorca
22-01-2022,Levante,0 - 2,Cadiz
04-02-2022,Getafe,3 - 0,Levante
13-02-2022,Levante,? - ?,Betis
14-08-2021,Mallorca,1 - 1,Betis
21-08-2021,Alaves,0 - 1,Mallorca
27-08-2021,Mallorca,1 - 0,Espanol
11-09-2021,Ath Bilbao,2 - 0,Mallorca
19-09-2021,Mallorca,0 - 0,Villarreal
22-09-2021,Real Madrid,6 - 1,Mallorca
26-09-2021,Mallorca,2 - 3,Osasuna
02-10-2021,Mallorca,1 - 0,Levante
16-10-2021,Sociedad,1 - 0,Mallorca
23-10-2021,Valencia,2 - 2,Mallorca
27-10-2021,Mallorca,1 - 1,Sevilla
31-10-2021,Cadiz,1 - 1,Mallorca
07-11-2021,Mallorca,2 - 2,Elche
22-11-2021,Vallecano,3 - 1,Mallorca
27-11-2021,Mallorca,0 - 0,Getafe
04-12-2021,Ath Madrid,1 - 2,Mallorca
10-12-2021,Mallorca,0 - 0,Celta
19-12-2021,Granada,4 - 1,Mallorca
02-01-2022,Mallorca,0 - 1,Barcelona
08-01-2022,Levante,2 - 0,Mallorca
22-01-2022,Villarreal,3 - 0,Mallorca
05-02-2022,Mallorca,2 - 1,Cadiz
14-02-2022,Mallorca,? - ?,Ath Bilbao
14-08-2021,Osasuna,0 - 0,Espanol
23-08-2021,Osasuna,0 - 0,Celta
29-08-2021,Cadiz,2 - 3,Osasuna
12-09-2021,Osasuna,1 - 4,Valencia
18-09-2021,Alaves,0 - 2,Osasuna
23-09-2021,Osasuna,1 - 3,Betis
26-09-2021,Mallorca,2 - 3,Osasuna
02-10-2021,Osasuna,1 - 0,Vallecano
17-10-2021,Villarreal,1 - 2,Osasuna
22-10-2021,Osasuna,1 - 1,Granada
27-10-2021,Real Madrid,0 - 0,Osasuna
30-10-2021,Sevilla,2 - 0,Osasuna
07-11-2021,Osasuna,0 - 2,Sociedad
20-11-2021,Ath Madrid,1 - 0,Osasuna
29-11-2021,Osasuna,1 - 1,Elche
05-12-2021,Levante,0 - 0,Osasuna
12-12-2021,Osasuna,2 - 2,Barcelona
19-12-2021,Getafe,1 - 0,Osasuna
03-01-2022,Osasuna,1 - 3,Ath Bilbao
09-01-2022,Osasuna,2 - 0,Cadiz
19-01-2022,Celta,2 - 0,Osasuna
23-01-2022,Granada,0 - 2,Osasuna
05-02-2022,Osasuna,0 - 0,Sevilla
12-02-2022,Vallecano,? - ?,Osasuna
14-08-2021,Alaves,1 - 4,Real Madrid
22-08-2021,Levante,3 - 3,Real Madrid
28-08-2021,Betis,0 - 1,Real Madrid
12-09-2021,Real Madrid,5 - 2,Celta
