title,author,length
The Story Solution,"By: Sean M. Platt, Johnny Truant",Length: 4 hrs and 38 mins
Cast Your Cares,By: Abide Christian Meditation,Length: 5 hrs and 14 mins
Grant,By: Ron Chernow,Length: 48 hrs and 2 mins
The 6 Pillars of Intimacy,"By: Alisa DiLorenzo, Tony DiLorenzo",Length: 3 hrs and 5 mins
The 1619 Project,"By: Nikole Hannah-Jones, The New York Times Magazine, Caitlin Roper - editor, Ilena Silverman - editor, Jake Silverstein - editor",Length: 18 hrs and 57 mins
A Squirrel's Delight,By: Virlyce,Length: 12 hrs and 24 mins
For Such a Time as This,By: Kayleigh McEnany,Length: 6 hrs and 6 mins
Black Faces in High Places,"By: Randal D. Pinkett, Jeffrey A. Robinson",Length: 9 hrs and 55 mins
It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
Harlem Shuffle,By: Colson Whitehead,Length: 10 hrs and 35 mins
Jake's Magical Market,By: J.R. Mathews,Length: 20 hrs and 41 mins
Sandstorm,By: Michael Wisehart,Length: 14 hrs and 33 mins
The Christie Affair,By: Nina de Gramont,Length: 10 hrs and 23 mins
Day of Ascension,By: Adrian Tchaikovsky,Length: 5 hrs and 38 mins
The Five Dysfunctions of a Team,By: Patrick Lencioni,Length: 3 hrs and 42 mins
Punk's War,By: Ward Carroll,Length: 10 hrs
Forbidden Zone,By: Tao Wong,Length: 11 hrs and 36 mins
The Extinction Survival Series Box Set,By: Walt Browning,Length: 38 hrs
Mercy,By: David Baldacci,Length: 11 hrs and 57 mins
The Tower of Swallows,By: Andrzej Sapkowski,Length: 16 hrs and 25 mins
Violeta (Spanish Edition),By: Isabel Allende,Length: 11 hrs and 25 mins
"Goodnight, Vienna",By: Marius Gabriel,Length: 11 hrs and 41 mins
First Life,By: Nathan Hystad,Length: 14 hrs and 46 mins
Termination Shock,By: Neal Stephenson,Length: 22 hrs and 54 mins
Winter's Heart,By: Robert Jordan,Length: 24 hrs and 12 mins
Alexander Hamilton,By: Ron Chernow,Length: 35 hrs and 58 mins
"An Irish Village Mystery Bundle, Books 1-3",By: Carlene O'Connor,Length: 29 hrs and 19 mins
The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
Something to Hide,By: Elizabeth George,Length: 21 hrs and 28 mins
The Lords of Easy Money,By: Christopher Leonard,Length: 10 hrs and 19 mins
A History of Wild Places,By: Shea Ernshaw,Length: 11 hrs and 59 mins
Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins
This Way to the Universe,By: Michael Dine,Length: 8 hrs and 56 mins
Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
Ascension,"By: Jonathan Yanez, Ross Buzzell",Length: 11 hrs and 34 mins
Lucky,By: Marissa Stapley,Length: 7 hrs and 31 mins
The Island of Missing Trees,By: Elif Shafak,Length: 11 hrs and 43 mins
The Magnolia Palace,By: Fiona Davis,Length: 11 hrs and 9 mins
The Happiness Trap,By: Russ Harris,Length: 12 hrs and 19 mins
The Legend of Randidly Ghosthound 2,"By: Noret Flood, puddles4263",Length: 24 hrs and 9 mins
Black Squadron,By: Michael Stephen Fuchs,Length: 9 hrs and 16 mins
The Power of Awareness,By: Neville Goddard,Length: 2 hrs and 38 mins
The Last House on the Street,By: Diane Chamberlain,Length: 12 hrs and 10 mins
The Richest Man in Babylon,By: George S. Clason,Length: 5 hrs and 3 mins
Empire of the Summer Moon,By: S. C. Gwynne,Length: 15 hrs and 9 mins
Ignite,By: Melanie Harlow,Length: 10 hrs and 5 mins
Pandemia,By: Alex Berenson,Length: 11 hrs and 1 min
Always Someone's Monster,By: Lani Lynn Vale,Length: 5 hrs and 47 mins
The Love Hypothesis,By: Ali Hazelwood,Length: 11 hrs and 8 mins
The Forlorn Hope,"By: J.N. Chaney, Molly Lerma",Length: 5 hrs and 11 mins
Powers and Thrones,By: Dan Jones,Length: 24 hrs and 25 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
The Return of the King,By: J. R. R. Tolkien,Length: 21 hrs and 52 mins
Heroic Hearts,"By: Jim Butcher, Kerrie Hughes",Length: 12 hrs
The Return of the King,By: J. R. R. Tolkien,Length: 18 hrs and 19 mins
The ONE Thing,"By: Gary Keller, Jay Papasan",Length: 5 hrs and 28 mins
Redeeming Love,By: Francine Rivers,Length: 17 hrs and 17 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
Kismet,By: Lauren Blakely,Length: 6 hrs and 46 mins
HWPO,"By: Mat Fraser, Spenser Mestel - contributor",Length: 4 hrs and 26 mins
Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
Cues,By: Vanessa Van Edwards,Length: 8 hrs and 2 mins
"Boundaries, Updated and Expanded Edition","By: John Townsend, Henry Cloud",Length: 11 hrs and 18 mins
Death on the Nile,By: Agatha Christie,Length: 7 hrs and 59 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
Black Cake,By: Charmaine Wilkerson,Length: 12 hrs and 2 mins
A Clash of Kings,By: George R.R. Martin,Length: 37 hrs and 12 mins
The Gathering Storm,"By: Robert Jordan, Brandon Sanderson",Length: 32 hrs and 58 mins
Leviathan Wakes,By: James S. A. Corey,Length: 20 hrs and 56 mins
The Hobbit,By: J. R. R. Tolkien,Length: 11 hrs and 5 mins
Unthinkable,By: Jamie Raskin,Length: 15 hrs and 8 mins
Wayward Galaxy 3,"By: Jason Anspach, J.N. Chaney",Length: 13 hrs and 11 mins
Fingerprints of the Gods,By: Graham Hancock,Length: 18 hrs and 31 mins
Forever Lies,By: Kathleen Brooks,Length: 7 hrs and 49 mins
"The Saga of Tanya the Evil, Vol. 3 (Light Novel)",By: Carlo Zen,Length: 9 hrs and 16 mins
Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
The Way of Integrity,By: Martha Beck,Length: 8 hrs and 51 mins
The Great Council,By: Pedro Urvi,Length: 14 hrs and 29 mins
The Lady of the Lake,By: Andrzej Sapkowski,Length: 20 hrs and 18 mins
Children of Dune,By: Frank Herbert,Length: 16 hrs and 51 mins
From Strength to Strength,By: Arthur C. Brooks,Length: 5 hrs and 49 mins
Sword of Destiny,By: Andrzej Sapkowski,Length: 12 hrs and 48 mins
Rich Dad Poor Dad,By: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
The Miracle Morning,By: Hal Elrod,Length: 4 hrs and 57 mins
Traction,By: Gino Wickman,Length: 6 hrs and 56 mins
Essentialism,By: Greg McKeown,Length: 6 hrs and 14 mins
Norse Mythology,By: Neil Gaiman,Length: 6 hrs and 29 mins
The Time of Contempt,By: Andrzej Sapkowski,Length: 11 hrs and 55 mins
The Whistler,By: John Grisham,Length: 13 hrs and 10 mins
Sankofa,By: Chibundu Onuzo,Length: 9 hrs and 2 mins
Shadow of Night,By: Deborah Harkness,Length: 24 hrs and 25 mins
Golden Boys,By: Phil Stamper,Length: 8 hrs and 46 mins
Heiresses,By: Laura Thompson,Length: 13 hrs and 3 mins
The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
Principles for Dealing with the Changing World Order,By: Ray Dalio,Length: 16 hrs and 48 mins
"Passive Income, Aggressive Retirement",By: Samuel Nelson,Length: 5 hrs and 12 mins
Grit,By: Angela Duckworth,Length: 9 hrs and 22 mins
Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
"Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
"Thinking, Fast and Slow",By: Daniel Kahneman,Length: 20 hrs and 2 mins
All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
A Sunlit Weapon,By: Jacqueline Winspear,Length: 11 hrs
Deep Work,By: Cal Newport,Length: 7 hrs and 44 mins
Zero to One,"By: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
Down the Rabbit Hole,By: Holly Madison,Length: 10 hrs and 51 mins
Profit First,By: Mike Michalowicz,Length: 8 hrs and 35 mins
The E-Myth Revisited,By: Michael E. Gerber,Length: 8 hrs and 5 mins
The Great Gatsby,By: F. Scott Fitzgerald,Length: 4 hrs and 49 mins
Rich as F*ck,By: Amanda Frances,Length: 6 hrs and 45 mins
The Sea of Monsters,By: Rick Riordan,Length: 7 hrs and 55 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
The Book of Life,By: Deborah Harkness,Length: 23 hrs and 53 mins
The Titan's Curse,By: Rick Riordan,Length: 8 hrs and 48 mins
Money: Master the Game,By: Tony Robbins,Length: 21 hrs and 3 mins
