title,author,length
Autopsy,By: Patricia Cornwell,Length: 11 hrs and 53 mins
Lord of the Flies,By: William Golding,Length: 6 hrs and 35 mins
You Can't Be Serious,By: Kal Penn,Length: 9 hrs and 44 mins
The Family,By: Naomi Krupitsky,Length: 9 hrs and 53 mins
The Silent Sisters,By: Robert Dugoni,Length: 10 hrs
The Dying Game,By: Ruhi Choudhary,Length: 10 hrs and 45 mins
The Story of You,By: Ian Morgan Cron,Length: 6 hrs and 30 mins
The Hammer of Thor,By: Rick Riordan,Length: 10 hrs and 34 mins
The Institute,By: Stephen King,Length: 18 hrs and 59 mins
The Last Wish,By: Andrzej Sapkowski,Length: 10 hrs and 17 mins
The Single Wife,By: Melissa Hill,Length: 9 hrs and 40 mins
Shadow and Bone,By: Leigh Bardugo,Length: 9 hrs and 21 mins
Ruthless Traitor,By: Heather Long,Length: 13 hrs and 14 mins
Before the Batman,By: Random House,Length: 2 hrs and 20 mins
How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
Jock Romeo,By: Sara Ney,Length: 8 hrs and 8 mins
Go Back to Where You Came From,By: Wajahat Ali,Length: 8 hrs and 22 mins
The Fires of Heaven,By: Robert Jordan,Length: 36 hrs and 27 mins
Snow Crash,By: Neal Stephenson,Length: 17 hrs and 3 mins
The Overstory,By: Richard Powers,Length: 22 hrs and 58 mins
The Man Who Died Twice,By: Richard Osman,Length: 11 hrs and 49 mins
Lightning in a Mirror,By: Jayne Ann Krentz,Length: 8 hrs and 33 mins
Younger You,By: Kara N. Fitzgerald ND,Length: 12 hrs and 8 mins
The Dust Bowl Orphans,By: Suzette D. Harrison,Length: 10 hrs and 58 mins
The Color of Abolition,By: Linda Hirshman,Length: 11 hrs and 6 mins
Operation Joktan,"By: Amir Tsarfati, Steve Yohn",Length: 11 hrs and 6 mins
A Tree Grows in Brooklyn,By: Betty Smith,Length: 14 hrs and 55 mins
The Big Picture,By: Sean Carroll,Length: 17 hrs and 22 mins
All Things Bright and Beautiful,By: James Herriot,Length: 13 hrs and 25 mins
The Bell Jar,By: Sylvia Plath,Length: 7 hrs and 24 mins
The Watsons Go to Birmingham: 1963,By: Christopher Paul Curtis,Length: 4 hrs and 55 mins
The New Girl,By: Ruth Heald,Length: 7 hrs and 52 mins
Roommate Arrangement,By: Saxon James,Length: 7 hrs and 44 mins
For Whom the Bell Tolls,By: Ernest Hemingway,Length: 16 hrs and 17 mins
The Stranger Beside Me,By: Ann Rule,Length: 18 hrs and 29 mins
The Crystal Shard,By: R. A. Salvatore,Length: 12 hrs and 2 mins
A Wild Card Kiss,By: Lauren Blakely,Length: 7 hrs and 4 mins
The Unplugged Alpha,By: Richard Cooper,Length: 4 hrs and 36 mins
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min
Behind Her Eyes,By: Sarah Pinborough,Length: 11 hrs and 29 mins
Stars End: The Complete Series Box Set,By: M. R. Forbes,Length: 26 hrs and 50 mins
White Night,By: Jim Butcher,Length: 14 hrs and 12 mins
Midnight in Washington,By: Adam Schiff,Length: 17 hrs and 45 mins
Moby-Dick,By: Herman Melville,Length: 21 hrs and 19 mins
The Runaway,By: Nick Petrie,Length: 11 hrs and 35 mins
The Paper Palace,By: Miranda Cowley Heller,Length: 12 hrs and 37 mins
The TB12 Method,By: Tom Brady,Length: 6 hrs and 55 mins
Designing Your Life,"By: Bill Burnett, Dave Evans",Length: 6 hrs and 18 mins
The Things They Carried,By: Tim O'Brien,Length: 7 hrs and 47 mins
The Shack,By: William P. Young,Length: 9 hrs and 15 mins
The Power of Moments,"By: Chip Heath, Dan Heath",Length: 6 hrs and 24 mins
Invisible Man,By: Ralph Ellison,Length: 18 hrs and 36 mins
Oh Crap! Potty Training,By: Jamie Glowacki,Length: 8 hrs and 4 mins
A Confederacy of Dunces,By: John Kennedy Toole,Length: 13 hrs and 32 mins
Consent to Kill,By: Vince Flynn,Length: 17 hrs and 16 mins
The Bullish Case for Bitcoin,By: Vijay Boyapati,Length: 2 hrs and 24 mins
The Bazaar of Bad Dreams,By: Stephen King,Length: 20 hrs and 11 mins
This Is How It Always Is,By: Laurie Frankel,Length: 11 hrs
Leviathan Falls,By: James S.A. Corey,Length: 19 hrs and 40 mins
Tripwire,By: Lee Child,Length: 14 hrs and 52 mins
Take a Chance with Me,By: Kristen Proby,Length: 6 hrs and 13 mins
The Total Money Makeover,By: Dave Ramsey,Length: 3 hrs and 41 mins
Ballistic,By: Mark Greaney,Length: 14 hrs and 8 mins
Glass Sword,By: Victoria Aveyard,Length: 14 hrs and 39 mins
Monster Hunter Vendetta,By: Larry Correia,Length: 21 hrs and 11 mins
The Power of Purpose,By: Les Brown,Length: 6 hrs and 43 mins
The Marriage Contract,By: Shay Davis,Length: 3 hrs and 5 mins
Hoopee Do,By: Jerry Boyd,Length: 8 hrs and 15 mins
A Hunter-Gatherer's Guide to the 21st Century,"By: Heather Heying, Bret Weinstein",Length: 8 hrs and 17 mins
Nemesis Games,By: James S. A. Corey,Length: 16 hrs and 44 mins
The Talisman,"By: Stephen King, Peter Straub",Length: 28 hrs
If You Ask Me,By: Betty White,Length: 2 hrs and 16 mins
The Forsaken King,By: Penelope Barsetti,Length: 10 hrs
Letting Go,By: David R. Hawkins MD,Length: 12 hrs and 23 mins
Washington,By: Ron Chernow,Length: 41 hrs and 54 mins
Single White Incubus,By: E. J. Russell,Length: 8 hrs and 56 mins
Tough as Steele,By: Susan Sleeman,Length: 8 hrs and 44 mins
The 15 Invaluable Laws of Growth,By: John C. Maxwell,Length: 7 hrs and 46 mins
The Lonely Hunter,By: Aimée Lutkin,Length: 7 hrs and 54 mins
The Fall of Hyperion,By: Dan Simmons,Length: 21 hrs and 45 mins
Nudge: The Final Edition,"By: Richard H. Thaler, Cass R. Sunstein",Length: 11 hrs and 33 mins
Peak Mind,By: Amishi P. Jha,Length: 9 hrs and 28 mins
The Ideal Team Player,By: Patrick M. Lencioni,Length: 5 hrs and 3 mins
Tuesdays with Morrie,By: Mitch Albom,Length: 3 hrs and 42 mins
Their Eyes Were Watching God,By: Zora Neale Hurston,Length: 6 hrs and 44 mins
The Advantage,By: Patrick Lencioni,Length: 5 hrs and 25 mins
Drive,By: Daniel H. Pink,Length: 5 hrs and 53 mins
The Big Short,By: Michael Lewis,Length: 9 hrs and 27 mins
Kingdom of the Cursed,By: Kerri Maniscalco,Length: 14 hrs and 14 mins
Cold Sanctuary,By: David J. Gatward,Length: 8 hrs and 43 mins
Bedtime Stories for Kids,By: Anna Smith,Length: 11 hrs and 4 mins
Towers of Midnight,"By: Robert Jordan, Brandon Sanderson",Length: 38 hrs and 23 mins
"Overlord, Vol. 1 (Light Novel): The Undead King","By: Kugane Maruyama, so-bin",Length: 8 hrs and 1 min
The Power of Vulnerability,By: Brené Brown,Length: 6 hrs and 30 mins
Putting the Rabbit in the Hat,By: Brian Cox,Length: 11 hrs and 40 mins
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
The World of Ice & Fire,"By: George R. R. Martin, Elio M. Garcia, Linda Antonsson",Length: 21 hrs and 22 mins
Tao Te Ching,"By: Stephen Mitchell, Lao Tzu",Length: 1 hr and 41 mins
Trump: The Art of the Deal,"By: Donald J. Trump, Tony Schwartz",Length: 9 hrs and 59 mins
Zodiac Academy,"By: Caroline Peckham, Susanne Valenti",Length: 12 hrs and 10 mins
You're Only Human,By: Kelly M. Kapic,Length: 11 hrs and 17 mins
This Is How They Tell Me the World Ends,By: Nicole Perlroth,Length: 18 hrs and 32 mins
Arcanum Unbounded: The Cosmere Collection,By: Brandon Sanderson,Length: 22 hrs and 31 mins
The Chronicles of Narnia Adult Box Set,By: C. S. Lewis,Length: 33 hrs and 45 mins
The Silkworm,By: Robert Galbraith,Length: 17 hrs and 17 mins
Jurassic Park,By: Michael Crichton,Length: 15 hrs and 10 mins
Troubled Blood,By: Robert Galbraith,Length: 31 hrs and 51 mins
Salem's Lot,By: Stephen King,Length: 17 hrs and 36 mins
The Dark Tower I,By: Stephen King,Length: 7 hrs and 20 mins
Set for Life,By: Scott Trench,Length: 8 hrs and 24 mins
A Promised Land,By: Barack Obama,Length: 29 hrs and 10 mins
Brazen,By: Julia Haart,Length: 8 hrs
There Is Nothing For You Here,By: Fiona Hill,Length: 15 hrs and 35 mins
Holes,By: Louis Sachar,Length: 4 hrs and 30 mins
The Shadow Rising,By: Robert Jordan,Length: 41 hrs and 13 mins
Fool Moon,By: Jim Butcher,Length: 10 hrs and 6 mins
Summer Knight,By: Jim Butcher,Length: 11 hrs and 13 mins
Black House,"By: Stephen King, Peter Straub",Length: 26 hrs and 27 mins
What If? 2,By: Randall Munroe,Length: 8 hrs
Abundance,By: Deepak Chopra,Length: 7 hrs and 59 mins
Super Gut,By: William Davis MD,Length: 8 hrs and 22 mins
Rising Strong,By: Brené Brown,Length: 8 hrs and 51 mins
Kenobi: Star Wars Legends,By: John Jackson Miller,Length: 13 hrs and 36 mins
Playmakers,By: Mike Florio,Length: 12 hrs and 12 mins
Dead Eye,By: Mark Greaney,Length: 14 hrs and 4 mins
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"By: Adele Faber, Elaine Mazlish",Length: 8 hrs and 24 mins
Free the Darkness,By: Kel Kade,Length: 16 hrs and 34 mins
The Power,By: Rhonda Byrne,Length: 6 hrs and 4 mins
You Are a Badass at Making Money,By: Jen Sincero,Length: 6 hrs and 59 mins
The Duke and I,By: Julia Quinn,Length: 12 hrs and 9 mins
"Yinka, Where Is Your Huzband?",By: Lizzie Damilola Blackburn,Length: 11 hrs and 17 mins
Holier Than Thou,By: Jackie Hill Perry,Length: 4 hrs and 16 mins
Echo,By: Thomas Olde Heuvelt,Length: 18 hrs and 52 mins
Dungeon Scumbag 1,By: Chet Hardacre,Length: 7 hrs and 51 mins
The Wise Man's Fear,By: Patrick Rothfuss,Length: 42 hrs and 55 mins
The Selection,By: Kiera Cass,Length: 8 hrs and 7 mins
The Bands of Mourning,By: Brandon Sanderson,Length: 14 hrs and 41 mins
Armored,By: Mark Greaney,Length: 5 hrs and 34 mins
Dynasty of Evil,By: Drew Karpyshyn,Length: 9 hrs and 22 mins
The Dragon Reborn,By: Robert Jordan,Length: 24 hrs and 48 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 22 hrs and 17 mins
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 11 hrs and 5 mins
Twelve and a Half,By: Gary Vaynerchuk,Length: 5 hrs and 7 mins
Brave New World,By: Aldous Huxley,Length: 8 hrs
The Crown of Gilded Bones,By: Jennifer L. Armentrout,Length: 25 hrs and 22 mins
Doctor Sleep,By: Stephen King,Length: 18 hrs and 34 mins
The Midnight Library,By: Matt Haig,Length: 8 hrs and 50 mins
The Last King of America,By: Andrew Roberts,Length: 36 hrs and 2 mins
Savage Road,By: Christine Feehan,Length: 19 hrs and 39 mins
Daughter of the Moon Goddess,By: Sue Lynn Tan,Length: 15 hrs and 1 min
Foundation (Apple Series Tie-in Edition),By: Isaac Asimov,Length: 8 hrs and 37 mins
The Vampire Lestat,By: Anne Rice,Length: 21 hrs and 40 mins
How to Tell a Story,"By: The Moth, Meg Bowles, Catherine Burns, Jenifer Hixson, Sarah Austin Jenness, Kate Tellers, Padma Lakshmi, Chenjerai Kumanyika",Length: 8 hrs and 30 mins
Miss Me with That,By: Rachel Lindsay,Length: 10 hrs and 1 min
A Life in Parts,By: Bryan Cranston,Length: 8 hrs and 53 mins
The Stand,By: Stephen King,Length: 47 hrs and 47 mins
Ender's Shadow,By: Orson Scott Card,Length: 15 hrs and 42 mins
Bright,By: Mary O. Paddock,Length: 10 hrs and 42 mins
The Pillars of the Earth,By: Ken Follett,Length: 40 hrs and 56 mins
Gorgeous Misery,By: JA Huss,Length: 8 hrs and 10 mins
The Latinist,By: Mark Prins,Length: 12 hrs and 7 mins
"Ted Talks: Uncle Teddy’s Fond Memories, Crazy Stories and Heartfelt Reflections",By: John Freeman,Length: 4 hrs and 53 mins
Turn Coat,By: Jim Butcher,Length: 14 hrs and 36 mins
The Fifth Agreement,By: don Miguel Ruiz,Length: 4 hrs and 25 mins
Things I Should Have Said,By: Jamie Lynn Spears,Length: 5 hrs and 53 mins
Criminal Spirits,By: Eva Chase,Length: 7 hrs and 18 mins
One in the Hand,By: Tom Abrahams,Length: 8 hrs and 20 mins
"Trunk Music: Harry Bosch Series, Book 5",By: Michael Connelly,Length: 12 hrs and 41 mins
Lilac Girls,By: Martha Hall Kelly,Length: 17 hrs and 30 mins
Esperanza Rising,By: Pam Munoz Ryan,Length: 4 hrs and 42 mins
Refugee,By: Alan Gratz,Length: 7 hrs and 37 mins
Rebecca,By: Daphné du Maurier,Length: 14 hrs and 48 mins
You,By: Caroline Kepnes,Length: 11 hrs and 6 mins
American Psycho,By: Bret Easton Ellis,Length: 16 hrs and 29 mins
Crying in H Mart,By: Michelle Zauner,Length: 7 hrs and 23 mins
Carnal Urges,By: J.T. Geissinger,Length: 9 hrs and 33 mins
Crave,By: Tracy Wolff,Length: 14 hrs and 56 mins
Between the World and Me,By: Ta-Nehisi Coates,Length: 3 hrs and 35 mins
Contagious,By: Jonah Berger,Length: 6 hrs and 50 mins
Murder on the Sea Witch: A Redmond and Haze Mystery,By: Irina Shapiro,Length: 8 hrs and 2 mins
Kingdom Fall,By: A. Zavarelli,Length: 11 hrs and 23 mins
Encanto,"By: Disney Press, Angela Cervantes",Length: 2 hrs and 9 mins
Our Country Friends,By: Gary Shteyngart,Length: 12 hrs and 15 mins
American Kingpin,By: Nick Bilton,Length: 12 hrs and 14 mins
"Creativity, Inc.","By: Ed Catmull, Amy Wallace",Length: 12 hrs and 52 mins
When a Killer Calls,"By: John E. Douglas, Mark Olshaker",Length: 9 hrs and 1 min
Things Hidden,By: Richard Rohr O.F.M.,Length: 10 hrs and 26 mins
Daring Greatly,By: Brené Brown,Length: 6 hrs and 30 mins
The Purpose Driven Life,By: Rick Warren,Length: 9 hrs and 38 mins
Conversations with Friends,By: Sally Rooney,Length: 8 hrs and 21 mins
My Own Words,"By: Ruth Bader Ginsburg, Mary Hartnett, Wendy W. Williams",Length: 13 hrs and 16 mins
Wahala,By: Nikki May,Length: 10 hrs and 19 mins
Twilight Tenth Anniversary/Life and Death Dual Edition,By: Stephenie Meyer,Length: 28 hrs and 56 mins
Sistersong,By: Lucy Holland,Length: 14 hrs and 17 mins
Fly Away,By: Kristin Hannah,Length: 16 hrs and 4 mins
This Is Vegan Propaganda,By: Ed Winters,Length: 8 hrs and 15 mins
How to Win Friends and Influence People in the Digital Age,By: Dale Carnegie & Associates,Length: 7 hrs and 6 mins
The Last Enforcer,"By: Charles Oakley, Frank Isola",Length: 9 hrs and 27 mins
The Captain's Daughter,By: Peter F. Hamilton,Length: 9 hrs and 32 mins
Out of Your Mind,By: Alan Watts,Length: 14 hrs and 22 mins
Carnival Hill,"By: Caroline Peckham, Susanne Valenti",Length: 17 hrs and 3 mins
The Cuckoo's Calling,By: Robert Galbraith,Length: 15 hrs and 54 mins
Rules of Civility,By: Amor Towles,Length: 12 hrs and 4 mins
Sabbat Martyr,By: Dan Abnett,Length: 10 hrs and 35 mins
Bringing Up Bébé,By: Pamela Druckerman,Length: 9 hrs and 8 mins
Open Season,By: C. J. Box,Length: 7 hrs and 50 mins
"The Civil War: A Narrative, Vol. 2",By: Shelby Foote,Length: 52 hrs and 45 mins
In Order to Live,By: Yeonmi Park,Length: 9 hrs and 37 mins
Just Mercy (Movie Tie-In Edition),By: Bryan Stevenson,Length: 11 hrs and 11 mins
Feeling Good,By: David D. Burns MD,Length: 13 hrs and 20 mins
A Thousand Splendid Suns,By: Khaled Hosseini,Length: 11 hrs and 43 mins
Freakonomics,"By: Steven D. Levitt, Stephen J. Dubner",Length: 7 hrs and 51 mins
Hillbilly Elegy,By: J. D. Vance,Length: 6 hrs and 49 mins
The Assertiveness Guide for Women,By: Margaret Douglas,Length: 5 hrs and 57 mins
Crossroads of Twilight,By: Robert Jordan,Length: 26 hrs and 4 mins
The Bear and the Dragon,By: Tom Clancy,Length: 42 hrs and 56 mins
Find Your Unicorn Space,By: Eve Rodsky,Length: 8 hrs and 51 mins
The Confident Mind,By: Dr. Nate Zinsser,Length: 10 hrs and 34 mins
Death Masks,By: Jim Butcher,Length: 11 hrs and 17 mins
"Changes: The Dresden Files, Book 12",By: Jim Butcher,Length: 15 hrs and 26 mins
The Easy Way to Control Alcohol,By: Allen Carr,Length: 8 hrs and 6 mins
The Road,By: Cormac McCarthy,Length: 6 hrs and 39 mins
The Mists of Avalon,By: Marion Zimmer Bradley,Length: 50 hrs and 53 mins
Yes Please,By: Amy Poehler,Length: 7 hrs and 31 mins
The 50th Law,"By: 50 Cent, Robert Greene",Length: 8 hrs and 16 mins
Godsword,By: Tracy Gregory,Length: 13 hrs and 43 mins
The New Wife,By: Sue Watson,Length: 9 hrs and 45 mins
Rachel's Holiday,By: Marian Keyes,Length: 14 hrs and 43 mins
The Heir,By: Sophie Lark,Length: 12 hrs and 13 mins
When Breath Becomes Air,"By: Paul Kalanithi, Abraham Verghese - foreword",Length: 5 hrs and 35 mins
The Last Black Unicorn,By: Tiffany Haddish,Length: 6 hrs and 29 mins
Why Does He Do That?,By: Lundy Bancroft,Length: 13 hrs and 32 mins
What to Say When You Talk to Your Self,By: Shad Helmstetter PhD,Length: 5 hrs and 22 mins
Live No Lies,By: John Mark Comer,Length: 7 hrs and 12 mins
Grip,By: Rick Pastoor,Length: 7 hrs and 15 mins
Mind Bullet,By: Jeremy Robinson,Length: 11 hrs and 42 mins
Broken Mind,By: Rabiosa Karr,Length: 6 mins
The Blinding Knife,By: Brent Weeks,Length: 24 hrs and 14 mins
Imagine Heaven,By: John Burke,Length: 10 hrs and 30 mins
The Dragonbone Chair,By: Tad Williams,Length: 33 hrs and 12 mins
The Amendment,By: Kiersten Modglin,Length: 5 hrs and 37 mins
A Heart Unchained,By: Red Phoenix,Length: 6 hrs and 6 mins
Tier One,"By: Brian Andrews, Jeffrey Wilson",Length: 11 hrs and 39 mins
No Way Back,By: J. B. Turner,Length: 8 hrs and 32 mins
The Anomaly,"By: Hervé Le Tellier, Adriana Hunter - translator",Length: 10 hrs and 36 mins
Siege and Storm,By: Leigh Bardugo,Length: 11 hrs and 49 mins
The Personal MBA: Master the Art of Business,By: Josh Kaufman,Length: 15 hrs and 25 mins
Better Off Dead,"By: Lee Child, Andrew Child",Length: 9 hrs and 11 mins
A Brief History of Time,By: Stephen Hawking,Length: 5 hrs and 46 mins
Jane Eyre,By: Charlotte Brontë,Length: 19 hrs and 10 mins
The Best Men,"By: Lauren Blakely, Sarina Bowen",Length: 9 hrs and 9 mins
A Man Called Ove,By: Fredrik Backman,Length: 9 hrs and 13 mins
Anna Karenina,By: Leo Tolstoy,Length: 35 hrs and 35 mins
Lifespan,"By: David A. Sinclair PhD, Matthew D. LaPlante",Length: 11 hrs and 55 mins
Way of the Wolf,By: Jordan Belfort,Length: 7 hrs and 28 mins
Meditations for Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 2 hrs and 27 mins
Urdesh: The Serpent and the Saint,By: Matthew Farrer,Length: 9 hrs and 47 mins
The Hobbit,By: J. R. R. Tolkien,Length: 10 hrs and 25 mins
A Memory of Light,"By: Robert Jordan, Brandon Sanderson",Length: 41 hrs and 47 mins
The Midnight Orchestra,By: Jessica Khoury,Length: 8 hrs and 35 mins
Titan,By: Ron Chernow,Length: 35 hrs and 3 mins
"Basic Economics, Fifth Edition",By: Thomas Sowell,Length: 23 hrs and 47 mins
Miracle and Wonder,"By: Malcolm Gladwell, Bruce Headlam",Length: 5 hrs and 6 mins
Star Wars: Thrawn Ascendancy (Book III: Lesser Evil),By: Timothy Zahn,Length: 23 hrs and 13 mins
Highland Wolf,By: Lynsay Sands,Length: 10 hrs and 30 mins
Invisible,By: Danielle Steel,Length: 8 hrs and 37 mins
"Overlord, Vol. 2","By: Kugane Maruyama, So-bin",Length: 8 hrs and 10 mins
Unidentified,By: Douglas E. Richards,Length: 13 hrs and 17 mins
"The Go-Giver, Expanded Edition","By: Bob Burg, John David Mann",Length: 2 hrs and 54 mins
Slaughterhouse-Five,By: Kurt Vonnegut,Length: 5 hrs and 13 mins
Kindred,By: Octavia E. Butler,Length: 10 hrs and 55 mins
Fervent,By: Priscilla Shirer,Length: 4 hrs and 25 mins
Into the Wild,By: Jon Krakauer,Length: 7 hrs and 5 mins
The Game,By: Neil Strauss,Length: 9 hrs and 27 mins
Loving What Is,"By: Byron Katie, Stephen Mitchell",Length: 9 hrs and 7 mins
The Easy Way to Stop Smoking,By: Allen Carr,Length: 5 hrs and 59 mins
A Darker Shade of Magic,By: V. E. Schwab,Length: 11 hrs and 34 mins
Starship Troopers,By: Robert A. Heinlein,Length: 9 hrs and 52 mins
New Moon,By: Stephenie Meyer,Length: 14 hrs and 50 mins
Ruin and Rising,By: Leigh Bardugo,Length: 10 hrs and 57 mins
Pangea Online: The Complete Trilogy,By: S.L. Rowland,Length: 23 hrs and 1 min
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
The World Without Crows,By: Ben Lyle Bedard,Length: 10 hrs and 38 mins
Feeding the Soul (Because It's My Business),By: Tabitha Brown,Length: 5 hrs and 49 mins
Eleanor Oliphant Is Completely Fine,By: Gail Honeyman,Length: 11 hrs and 2 mins
The Teeth of the Tiger,By: Tom Clancy,Length: 16 hrs and 43 mins
"I, Robot",By: Isaac Asimov,Length: 8 hrs and 20 mins
Dead Beat,By: Jim Butcher,Length: 15 hrs and 7 mins
The Great Hunt,By: Robert Jordan,Length: 26 hrs and 34 mins
Team of Teams,"By: Gen. Stanley McChrystal, Tantum Collins, David Silverman, Chris Fussell",Length: 12 hrs and 6 mins
Captivate,By: Vanessa Van Edwards,Length: 7 hrs and 28 mins
Less,By: Andrew Sean Greer,Length: 8 hrs and 17 mins
Scaling Up,By: Verne Harnish,Length: 8 hrs and 49 mins
No Easy Day,"By: Mark Owen, Kevin Maurer",Length: 6 hrs and 50 mins
The 4 Disciplines of Execution,"By: Sean Covey, Chris McChesney, Jim Huling",Length: 8 hrs and 27 mins
The Innocent: A Novel,By: David Baldacci,Length: 12 hrs and 14 mins
Flow,By: Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
Juniper Hill,By: Devney Perry,Length: 8 hrs and 20 mins
An Ambush of Widows,By: Jeff Abbott,Length: 12 hrs and 32 mins
The Eye of the World,By: Robert Jordan,Length: 29 hrs and 57 mins
Little Fires Everywhere,By: Celeste Ng,Length: 11 hrs and 27 mins
Best Served Cold,By: Joe Abercrombie,Length: 26 hrs and 29 mins
"Roll of Thunder, Hear My Cry",By: Mildred D. Taylor,Length: 8 hrs and 28 mins
Lean In,By: Sheryl Sandberg,Length: 6 hrs and 27 mins
"Graceland, At Last",By: Margaret Renkl,Length: 7 hrs and 56 mins
The Viscount Who Loved Me,By: Julia Quinn,Length: 12 hrs and 23 mins
Learn Spanish with Paul Noble for Beginners – Complete Course,By: Paul Noble,Length: 13 hrs and 21 mins
All These Worlds,By: Dennis E. Taylor,Length: 7 hrs and 56 mins
Death's End,"By: Cixin Liu, Ken Liu - translator",Length: 28 hrs and 51 mins
"Change Your Thoughts, Change Your Life",By: Dr. Wayne W. Dyer,Length: 9 hrs and 9 mins
The Tipping Point,By: Malcolm Gladwell,Length: 8 hrs and 34 mins
Untangled,By: Lisa Damour,Length: 8 hrs and 37 mins
The Autobiography of Malcolm X,"By: Malcolm X, Alex Haley",Length: 16 hrs and 52 mins
And Then There Were None,By: Agatha Christie,Length: 6 hrs and 1 min
My Brilliant Friend,By: Elena Ferrante,Length: 12 hrs and 38 mins
Angela's Ashes,"By: Frank McCourt, Jeannette Walls - introduction",Length: 15 hrs and 8 mins
"The Civil War: A Narrative, Volume I, Fort Sumter to Perryville",By: Shelby Foote,Length: 42 hrs and 58 mins
Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
It Didn't Start with You,By: Mark Wolynn,Length: 8 hrs and 16 mins
Not One Inch,By: M.E. Sarotte,Length: 15 hrs and 54 mins
The Hawthorne Legacy,By: Jennifer Lynn Barnes,Length: 10 hrs and 24 mins
The Alloy of Law,By: Brandon Sanderson,Length: 10 hrs and 48 mins
The Affair,By: Lee Child,Length: 16 hrs and 3 mins
The Flames of Hope,By: Tui T. Sutherland,Length: 9 hrs and 12 mins
So Good They Can't Ignore You,By: Cal Newport,Length: 6 hrs and 28 mins
It's Your Ship,By: D. Michael Abrashoff,Length: 6 hrs and 24 mins
The Books of Jacob,"By: Olga Tokarczuk, Jennifer Croft - translator",Length: 35 hrs and 37 mins
Billy Summers,By: Stephen King,Length: 16 hrs and 57 mins
Punk 57,By: Penelope Douglas,Length: 10 hrs and 7 mins
13 Things Mentally Strong People Don't Do,By: Amy Morin,Length: 6 hrs and 36 mins
The Celestine Prophecy,By: James Redfield,Length: 8 hrs and 27 mins
Number the Stars,By: Lois Lowry,Length: 2 hrs and 45 mins
Master and Commander,By: Patrick O'Brian,Length: 16 hrs and 45 mins
Off to Be the Wizard,By: Scott Meyer,Length: 10 hrs and 45 mins
Chasing History,By: Carl Bernstein,Length: 13 hrs and 57 mins
Little Women,By: Louisa May Alcott,Length: 19 hrs and 37 mins
The Chemist,By: Stephenie Meyer,Length: 17 hrs and 1 min
The Judge's List,By: John Grisham,Length: 11 hrs and 36 mins
On Target,By: Mark Greaney,Length: 12 hrs and 35 mins
Different Seasons,By: Stephen King,Length: 20 hrs and 15 mins
You Were Born Rich,By: Bob Proctor,Length: 10 hrs and 48 mins
The Meaning of Marriage,By: Timothy Keller,Length: 8 hrs and 15 mins
A Wizard of Earthsea,By: Ursula K. Le Guin,Length: 7 hrs and 17 mins
What I Know for Sure,By: Oprah Winfrey,Length: 3 hrs and 53 mins
ReDawn,"By: Brandon Sanderson, Janci Patterson",Length: 6 hrs and 57 mins
Spellmonger,By: Terry Mancour,Length: 18 hrs and 22 mins
The Hating Game,By: Sally Thorne,Length: 11 hrs and 29 mins
Homo Deus,By: Yuval Noah Harari,Length: 14 hrs and 54 mins
Mastery,By: Robert Greene,Length: 16 hrs and 9 mins
"The Lion, the Witch, and the Wardrobe",By: C. S. Lewis,Length: 4 hrs and 21 mins
Big Little Lies,By: Liane Moriarty,Length: 15 hrs and 55 mins
Eclipse,By: Stephenie Meyer,Length: 16 hrs and 26 mins
Iron Gold,By: Pierce Brown,Length: 23 hrs and 23 mins
Monster Hunt NYC 2,By: Harmon Cooper,Length: 8 hrs and 3 mins
The Last Physicist,By: Dominic Stal,Length: 19 hrs
The Dragonet Prophecy,By: Tui T. Sutherland,Length: 8 hrs and 32 mins
Grey,By: E. L. James,Length: 18 hrs and 53 mins
The Left Hand of Darkness,By: Ursula K. Le Guin,Length: 9 hrs and 39 mins
Guided Meditations for Black Women,By: Alexandra Johnson,Length: 4 hrs and 51 mins
The Lost World,By: Michael Crichton,Length: 15 hrs and 18 mins
The Passage,By: Justin Cronin,Length: 36 hrs and 49 mins
"The 21 Irrefutable Laws of Leadership, 10th Anniversary Edition",By: John C. Maxwell,Length: 3 hrs and 34 mins
Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
God Bless This Mess,By: Hannah Brown,Length: 8 hrs and 38 mins
The Daily Stoic,"By: Ryan Holiday, Stephen Hanselman",Length: 10 hrs and 6 mins
The Testament,By: John Grisham,Length: 14 hrs and 33 mins
Shadow Princess,"By: Caroline Peckham, Susanne Valenti",Length: 21 hrs and 18 mins
Knife of Dreams,By: Robert Jordan,Length: 32 hrs and 19 mins
